Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Hour,Minutes,Sales,City,State
141234,iPhone,1,700.0,2019-01-22 21:25:00,"944 Walnut St, Boston, MA 02215",1,21,25,700.0,Boston,MA 02215
141235,Lightning Charging Cable,1,14.95,2019-01-28 14:15:00,"185 Maple St, Portland, OR 97035",1,14,15,14.95,Portland,OR 97035
141236,Wired Headphones,2,11.99,2019-01-17 13:33:00,"538 Adams St, San Francisco, CA 94016",1,13,33,23.98,San Francisco,CA 94016
141237,27in FHD Monitor,1,149.99,2019-01-05 20:33:00,"738 10th St, Los Angeles, CA 90001",1,20,33,149.99,Los Angeles,CA 90001
141238,Wired Headphones,1,11.99,2019-01-25 11:59:00,"387 10th St, Austin, TX 73301",1,11,59,11.99,Austin,TX 73301
141239,AAA Batteries (4-pack),1,2.99,2019-01-29 20:22:00,"775 Willow St, San Francisco, CA 94016",1,20,22,2.99,San Francisco,CA 94016
141240,27in 4K Gaming Monitor,1,389.99,2019-01-26 12:16:00,"979 Park St, Los Angeles, CA 90001",1,12,16,389.99,Los Angeles,CA 90001
141241,USB-C Charging Cable,1,11.95,2019-01-05 12:04:00,"181 6th St, San Francisco, CA 94016",1,12,4,11.95,San Francisco,CA 94016
141242,Bose SoundSport Headphones,1,99.99,2019-01-01 10:30:00,"867 Willow St, Los Angeles, CA 90001",1,10,30,99.99,Los Angeles,CA 90001
141243,Apple Airpods Headphones,1,150.0,2019-01-22 21:20:00,"657 Johnson St, San Francisco, CA 94016",1,21,20,150.0,San Francisco,CA 94016
141244,Apple Airpods Headphones,1,150.0,2019-01-07 11:29:00,"492 Walnut St, San Francisco, CA 94016",1,11,29,150.0,San Francisco,CA 94016
141245,Macbook Pro Laptop,1,1700.0,2019-01-31 10:12:00,"322 6th St, San Francisco, CA 94016",1,10,12,1700.0,San Francisco,CA 94016
141246,AAA Batteries (4-pack),3,2.99,2019-01-09 18:57:00,"618 7th St, Los Angeles, CA 90001",1,18,57,8.97,Los Angeles,CA 90001
141247,27in FHD Monitor,1,149.99,2019-01-25 19:19:00,"512 Wilson St, San Francisco, CA 94016",1,19,19,149.99,San Francisco,CA 94016
141248,Flatscreen TV,1,300.0,2019-01-03 21:54:00,"363 Spruce St, Austin, TX 73301",1,21,54,300.0,Austin,TX 73301
141249,27in FHD Monitor,1,149.99,2019-01-05 17:20:00,"440 Cedar St, Portland, OR 97035",1,17,20,149.99,Portland,OR 97035
141250,Vareebadd Phone,1,400.0,2019-01-10 11:20:00,"471 Center St, Los Angeles, CA 90001",1,11,20,400.0,Los Angeles,CA 90001
141251,Apple Airpods Headphones,1,150.0,2019-01-24 08:13:00,"414 Walnut St, Boston, MA 02215",1,8,13,150.0,Boston,MA 02215
141252,USB-C Charging Cable,1,11.95,2019-01-30 09:28:00,"220 9th St, Los Angeles, CA 90001",1,9,28,11.95,Los Angeles,CA 90001
141253,AA Batteries (4-pack),1,3.84,2019-01-17 00:09:00,"385 11th St, Atlanta, GA 30301",1,0,9,3.84,Atlanta,GA 30301
141254,AAA Batteries (4-pack),1,2.99,2019-01-08 11:51:00,"238 Sunset St, Seattle, WA 98101",1,11,51,2.99,Seattle,WA 98101
141255,USB-C Charging Cable,1,11.95,2019-01-09 20:55:00,"764 11th St, Los Angeles, CA 90001",1,20,55,11.95,Los Angeles,CA 90001
141256,Google Phone,1,600.0,2019-01-29 10:40:00,"675 Washington St, Portland, OR 97035",1,10,40,600.0,Portland,OR 97035
141257,Apple Airpods Headphones,1,150.0,2019-01-12 18:51:00,"338 Highland St, San Francisco, CA 94016",1,18,51,150.0,San Francisco,CA 94016
141258,AA Batteries (4-pack),1,3.84,2019-01-19 21:47:00,"820 1st St, San Francisco, CA 94016",1,21,47,3.84,San Francisco,CA 94016
141259,AAA Batteries (4-pack),2,2.99,2019-01-20 17:26:00,"920 Adams St, San Francisco, CA 94016",1,17,26,5.98,San Francisco,CA 94016
141260,AAA Batteries (4-pack),1,2.99,2019-01-01 22:00:00,"293 Hill St, San Francisco, CA 94016",1,22,0,2.99,San Francisco,CA 94016
141261,USB-C Charging Cable,1,11.95,2019-01-09 18:14:00,"840 Lincoln St, Atlanta, GA 30301",1,18,14,11.95,Atlanta,GA 30301
141262,AAA Batteries (4-pack),1,2.99,2019-01-16 12:35:00,"291 Lincoln St, San Francisco, CA 94016",1,12,35,2.99,San Francisco,CA 94016
141263,Bose SoundSport Headphones,1,99.99,2019-01-11 23:33:00,"640 Spruce St, Boston, MA 02215",1,23,33,99.99,Boston,MA 02215
141264,Apple Airpods Headphones,1,150.0,2019-01-03 09:46:00,"937 Highland St, New York City, NY 10001",1,9,46,150.0,New York City,NY 10001
141265,Apple Airpods Headphones,1,150.0,2019-01-01 16:52:00,"853 Ridge St, Boston, MA 02215",1,16,52,150.0,Boston,MA 02215
141266,27in 4K Gaming Monitor,1,389.99,2019-01-02 22:21:00,"834 4th St, Dallas, TX 75001",1,22,21,389.99,Dallas,TX 75001
141267,Apple Airpods Headphones,1,150.0,2019-01-09 08:28:00,"649 Sunset St, Los Angeles, CA 90001",1,8,28,150.0,Los Angeles,CA 90001
141268,AA Batteries (4-pack),1,3.84,2019-01-14 10:13:00,"611 Elm St, New York City, NY 10001",1,10,13,3.84,New York City,NY 10001
141269,27in 4K Gaming Monitor,1,389.99,2019-01-03 20:05:00,"812 Jefferson St, Los Angeles, CA 90001",1,20,5,389.99,Los Angeles,CA 90001
141270,Wired Headphones,1,11.99,2019-01-27 23:10:00,"469 Hill St, San Francisco, CA 94016",1,23,10,11.99,San Francisco,CA 94016
141271,USB-C Charging Cable,1,11.95,2019-01-30 10:51:00,"90 13th St, Boston, MA 02215",1,10,51,11.95,Boston,MA 02215
