Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Hour,Minutes,Sales,City,State
235589,Bose SoundSport Headphones,1,99.99,2019-07-27 21:13:00,"519 11th St, San Francisco, CA 94016",7,21,13,99.99,San Francisco,CA 94016
235590,AA Batteries (4-pack),1,3.84,2019-07-22 14:39:00,"835 7th St, Dallas, TX 75001",7,14,39,3.84,Dallas,TX 75001
235591,Flatscreen TV,1,300.0,2019-07-30 19:07:00,"878 Church St, New York City, NY 10001",7,19,7,300.0,New York City,NY 10001
235592,34in Ultrawide Monitor,1,379.99,2019-07-07 17:18:00,"489 Dogwood St, Atlanta, GA 30301",7,17,18,379.99,Atlanta,GA 30301
235593,iPhone,1,700.0,2019-07-29 01:53:00,"305 11th St, Atlanta, GA 30301",7,1,53,700.0,Atlanta,GA 30301
235594,USB-C Charging Cable,2,11.95,2019-07-12 07:00:00,"999 11th St, San Francisco, CA 94016",7,7,0,23.9,San Francisco,CA 94016
235595,AA Batteries (4-pack),2,3.84,2019-07-22 21:40:00,"340 Cherry St, Boston, MA 02215",7,21,40,7.68,Boston,MA 02215
235596,Apple Airpods Headphones,1,150.0,2019-07-12 11:38:00,"529 14th St, New York City, NY 10001",7,11,38,150.0,New York City,NY 10001
235597,iPhone,1,700.0,2019-07-01 20:22:00,"452 North St, Boston, MA 02215",7,20,22,700.0,Boston,MA 02215
235598,AA Batteries (4-pack),1,3.84,2019-07-16 12:28:00,"281 Jefferson St, San Francisco, CA 94016",7,12,28,3.84,San Francisco,CA 94016
235599,Macbook Pro Laptop,1,1700.0,2019-07-15 15:00:00,"128 Sunset St, Los Angeles, CA 90001",7,15,0,1700.0,Los Angeles,CA 90001
235600,Apple Airpods Headphones,1,150.0,2019-07-21 23:54:00,"313 Center St, San Francisco, CA 94016",7,23,54,150.0,San Francisco,CA 94016
235601,Lightning Charging Cable,1,14.95,2019-07-11 04:02:00,"945 Park St, Portland, OR 97035",7,4,2,14.95,Portland,OR 97035
